사건명,승패자,결과,요약된 내용
교통사고처리특례법위반(치상),상고인,승소,"['그럼에도, 피고인에게 횡단보도에서의 보행자 보호의무위반이 인정되지 않는다고 보아 이 사건 공소를 기각한 원심판결에는 법리를 오해하여 판결에 영향을 미친 위법이 있다', '② 이 사건 교통사고는 신호기가 없는 횡단보도에서 보행자가 진입을 시도하기 전 피고인 차량이 횡단보도에 먼저 진입하여 진행하던 중 갑자기 횡단보도에 진입한 보행자와 충돌하여 발생한 것이고, 도로교통법 제27조 제1항은 ‘보행자가 횡단보도를 통행하고 있을 때’ 운전자에게 ‘횡단보도 앞’에서의 일시정지의무를 부과하고 있으므로, 보행자가 횡단보도에 진입하기 전에 횡단보도에 진입한 피고인에게 위 규정 문언상의 일시정지의무가 그대로 발생하였다고 보기는 어렵다', '그럼에도 원심은 피고인이 도로교통법 제27조 제1항에서 정한 횡단보도에서의 보행자 보호의무를 위반하였다고 볼 수 없다는 이유로 공소기각 판결을 선고하였으니, 원심판결에는 횡단보도에서의 보행자 보호의무에 관한 법리를 오해하여 판결에 영향을 미친 위법이 있고, 이를 지적하는 검사의 위 주장은 이유 있다']"
폭력행위등처벌에관한법률위반(공동상해)·상법위반·전자금융거래법위반·공전자기록등불실기재·불실기재공전자기록등행사·교통사고처리특례법위반(치상)·도로교통법위반(무면허운전)·범인도피교사,상고인,패소,"['원심은 제1심 판시 2018고단468 사건의 공소사실 중 피고인이 허위의 유한회사 설립등기신청을 하여 그 사실을 모르는 등기공무원으로 하여금 공정증서원본과 동일한 전자기록인 상업등기부 전산시스템에 불실의 사실을 기록하게 하고 이를 비치하게 하여 행사하였다는 공전자기록 등 불실기재 및 불실기재 공전자기록 등 행사 부분을 유죄로 인정한 제1심판결을 그대로 유지하였다', '위와 같은 이유로 원심판결 중 제1심 판시 2018고단468 사건의 공전자기록 등 불실기재죄 및 불실기재 공전자기록 등 행사죄 부분을 파기하여야 하는데, 원심은 이 부분과 유죄로 인정한 상법 위반, 전자금융거래법 위반의 각 죄가 형법 제37조 전단의 경합범 관계에 있다고 하여 하나의 형을 선고한 제1심을 유지하였으므로, 이 부분 원심판결을 전부 파기하여야 한다', '3. 결론  그러므로 원심판결 중 제1심 판시 2018고단468 사건에 대한 부분을 파기하고, 이 부분 사건을 다시 심리·판단하도록 원심법원에 환송하며, 제1심 판시 2018고단296, 472 사건 부분에 대한 피고인의 상고를 기각하기로 하여, 관여 대법관의 일치된 의견으로 주문과 같이 판결한다']"
손해배상(자)(교통사고 피해자의 유족들이 가해자와 보험사를 상대로 손해배상을 구하는 사건),항소인,승소,"[""정형외과 전문의가 위 조사보고서의 ‘보건·사회복지 및 종교 관련직'에 포함된 직종이라고 해서 위 직군의 통계소득으로 소외인의 전역 이후 예상소득을 산정하는 것은 합리성과 객관성을 갖추지 못하였다"", '그런데도 원심이 소외인의 전역 이후 일실수입을 위 조사보고서의 ‘보건·사회복지 및 종교 관련직’ 통계소득을 기준으로 산정한 것은 일실수입 산정에 관한 법리를 오해하여 판결에 영향을 미친 잘못이 있다', '4. 결론  원고들의 상고는 이유 있어 원심판결 중 원고들 패소 부분을 파기하고 이 부분 사건을 다시 심리·판단하도록 원심법원에 환송하기로 하여, 대법관의 일치된 의견으로 주문과 같이 판결한다']"
교통사고처리특례법위반(치사),항소인,패소,"['당시 피고인의 지인인 피해자 공소외 1(52세, 여)이 피고인과 동행하여 자전거를 운행하고 있었으므로, 피고인으로서는 피해자의 자전거와 충돌을 방지하기 위해 충분한 안전거리를 두고 운행하여야 하고 나란히 운행해서는 아니 되는 업무상의 주의의무가 있었다', '앞서 본 증거들에 의하면, 피고인은 단일한 차로만이 설치된 자전거도로에서 피해자와 나란히 주행하였던 사실을 인정할 수 있으므로, 피고인은 위 도로교통법상 규정된 병렬주행 금지 규정을 위반하여 자전거를 운행한 과실이 있다', '그런데 위 증거들에 의하면, 피고인의 주장에 의하더라도 피해자의 자전거 운전 실력은 아직 서툰 편이어서 돌발 상황에 잘 대처하지는 못하는 정도(증거기록 152쪽)였음에도 불구하고 피고인은 피해자와 병렬주행을 하였다는 것인바, 피고인은 당연히 피해자의 자전거와 충돌을 방지하기 위해 충분한 안전거리를 두고 운행하여야 할 의무가 있다 할 것이다']"
손해배상(자)(교통사고로 발생한 장애로 인한 손해배상청구권의 소멸시효의 기산일),상고인,승소,"['원심은, 원고가 이 사건 사고로 인하여 입은 손해에 대하여 상법 제724조 제2항에 의하여 보험자인 피고에게 직접 손해배상청구권을 행사할 수 있는데, 이 사건 사고가 발생한 2006. 3.경에 이 사건 사고로 인한 손해와 가해자를 알았음에도 그로부터 3년이 지난 2012. 3. 21.경에야 비로소 피고에게 손해배상을 청구한 이상 원고의 손해배상청구권은 시효가 완성되어 소멸하였다고 판단하였다', '나) 원고는 이 사건 사고 직후 약간의 발달지체 등의 증상을 보이다가 계속 치료를 받아 증상이 호전되기도 하였으나, 2007. 4.경부터 경련이 발생하고 2008. 1.경에는 전신경련이 발생한 이후 발달단계가 현저히 퇴행하는 양상을 보였다', '3) 그런데도 원심은 이러한 특수한 사정에 관하여 충분하게 심리하지 않은 채 바로 원고가 이 사건 사고 직후 손해가 발생한 사실을 알았다고 단정하고 말았다']"
손해배상(자)(원고가 교통사고로 말미암은 후유장해로 복합부위통증증후군(CRPS)을 주장하면서 손해배상을 청구하는 사건),상고인,승소,"['원심판결 이유를 위에서 본 법리와 적법하게 채택된 증거에 비추어 살펴보면, 원심이 이 사건 신체감정촉탁 결과 중 복합부위통증증후군의 발생 여부 부분에 기초하여 원고 1에게 이 사건 사고로 복합부위통증증후군이라는 후유장해가 발생하였다고 판단한 것은 정당하다', '(5) 이 사건 신체감정촉탁 결과는 복합부위통증증후군의 발생 여부에 관해서는 수정 국제통증학회 기준 중 임상용 진단기준 또는 AMA 지침 제6판 기준을 적용하였는데도, 그에 따른 신체기능장애율 산정에 관해서는 AMA 지침 제5판 기준을 적용하였다', '원심은 이 사건 신체감정촉탁 결과 중 AMA 지침 제5판 기준을 적용한 신체기능장애율 부분에 기초하여 원고 1의 노동능력상실률을 정하였으나, 이는 위에서 본 바와 같은 이유로 논리와 경험의 법칙에 반하여 자유심증주의의 한계를 벗어나거나 노동능력상실률 평가방법에 관한 법리를 오해하여 판결에 영향을 미친 잘못이 있다']"
교통사고처리특례법위반(치상)·도로교통법위반,상고인,승소,"['1. 도로교통법 시행규칙 제6조 제2항 [별표 2]는 “황색의 등화”의 뜻을 ‘1. 차마는 정지선이 있거나 횡단보도가 있을 때에는 그 직전이나 교차로의 직전에 정지하여야 하며, 이미 교차로에 차마의 일부라도 진입한 경우에는 신속히 교차로 밖으로 진행하여야 한다’라고 규정하고 있다', '2. 원심은 도로교통법 시행규칙 제6조 제2항 [별표 2]에서 정하는 ‘황색의 등화’를 정지선이나 횡단보도가 없을 때에는 교차로의 직전에 정지하여야 한다는 의미로 해석할 수 없다고 보아 이 사건 공소사실을 모두 무죄로 판단한 제1심판결을 그대로 유지하였다', '이러한 원심판단에는 도로교통법 시행규칙 제6조 제2항 [별표 2]의 ‘황색의 등화’에 관한 법리를 오해하여 판결에 영향을 미친 잘못이 있다']"
교통사고처리특례법위반(치상)·도로교통법위반,항소인,패소,"['【이유】1. 항소이유의 요지  도로교통법 규정을 종합하면 황색등화 신호는 차마가 황색 등화시 정지선이 있거나 횡단보도가 있을 때에는 그 직전에 멈추고, 정지선 또는 횡단보도가 없거나 이를 지나치더라도 교차로의 직전에 정지하여야 한다고 해석해야 하므로, 피고인에게 신호위반의 과실이 인정된다', '2. 판단  원심은 그 판시와 같은 이유를 들어, 도로교통법 시행규칙 제6조 제2항 별표 제2호의 황색등화 신호는 정지선이나 횡단보도가 없을 때에는 교차로의 직전에 정지하여야 한다는 의미로 해석할 수 없다고 보아 이 사건 공소사실을 무죄로 판단하였다', '3. 결론  그렇다면 검사의 항소는 이유 없으므로, 형사소송법 제364조 제4항에 따라 이를 기각하기로 하여 주문과 같이 판결한다']"
교통사고처리특례법위반,상고인,승소,"['도로교통법 제29조는 제2항에서 “긴급자동차는 이 법이나 이 법에 따른 명령에 따라 정지하여야 하는 경우에도 불구하고 긴급하고 부득이한 경우에는 정지하지 아니할 수 있다', '따라서 긴급자동차의 운전자는 긴급하고 부득이한 사유로 정지하지 않는 경우에도 도로교통법 제29조 제3항에 따라 교통안전에 특히 주의하면서 통행하여야 하고, 만약 진행 방향에 사람이 보행하고 있거나 자동차가 교차 진행하는 경우에는 당연히 정지하여야 한다(대법원 1985. 11. 12. 선고 85도1992 판결 참조)', '위 법리에 따르면, 원심으로서는 피고인이 이 사건 교차로에서 일시정지하지 아니하고 진행한 것이 긴급하고 부득이한 사유 때문이었다고 판단하였더라도, 위 판단에 더하여 추가로 피고인이 당시 교통안전에 특히 주의하여 통행하였는지에 대하여 심리한 후 피고인의 행위가 교통사고처리 특례법 제3조 제2항 단서 제1호에서 규정한 ‘신호를 위반하여 운전한 경우’에 해당하는지를 판단하였어야 한다']"
교통사고처리특례법위반,상고인,승소,"['이에 대하여 원심은, ① 이 사건 회전교차로에 있는 회전교차로 표지판의 의미는 ‘표지판이 화살표 방향으로 자동차가 회전 진행할 것을 지시하는 것’이고, ② 이 사건 회전교차로 노면에 표시된 진행방향 표시의 의미는 ‘교차로에서 회전 시 통행하여야 할 방향을 표시하는 것’일 뿐이므로, ③ 피고인이 회전교차로 표지와 노면의 진행방향 표시가 표시하는 지시를 위반하였다 하더라도 이를 교통사고처리 특례법 제3조 제2항 단서 제1호의 ‘통행금지를 내용으로 하는 안전표지가 표시하는 지시를 위반하여 운전한 경우’에 해당한다고 보기 어려운데, ④ 피고인이 운전한 차량이 사고 당시 자동차종합보험에 가입되어 있었다는 이유로 이 사건 공소를 기각하였다', '이와 같은 관계 법령의 각 규정을 종합하여 볼 때, 회전교차로에 설치된 회전교차로 표지 및 유도표시는, 회전교차로에 진입하려는 차마로 하여금 진행방향 차로를 준수하도록 함으로써 이미 회전교차로 내에 진입하였거나 진입하려는 다른 차마와 반대방향으로 진행할 경우 발생할 수 있는 사고를 방지하여 차마의 안전한 운행과 원활한 교통을 확보하기 위하여 설치된 것이어서, 화살표 방향과 반대로 진행하지 말 것을 지시하는 내용의 안전표지로 봄이 상당하다', '그렇다면 피고인이 회전교차로에 설치된 회전교차로 표지 및 유도표시에 표시된 화살표의 방향과 반대로 진행한 것은 교통사고처리 특례법 제3조 제2항 단서 제1호가 정한 ‘도로교통법 제5조에 따른 통행금지를 내용으로 하는 안전표지가 표시하는 지시를 위반하여 운전한 경우’에 해당한다']"
교통사고처리특례법위반·도로교통법위반(음주운전),상고인,승소,"['또한 위와 같은 도로교통법 규정 내용 등에 비추어 보면, 호흡측정 방식에 따라 혈중알코올농도를 측정한 경찰공무원에게 특별한 사정이 없는 한 혈액채취의 방법을 통하여 혈중알코올농도를 다시 측정할 수 있다는 취지를 운전자에게 고지하여야 할 의무가 있다고 볼 수 없다', '이러한 사실관계를 앞서 본 법리에 비추어 살펴보면, 이 사건은 피고인이 호흡측정 결과에 불복하여 혈액채취 등의 방법에 의한 재측정을 요구하였음을 인정할 자료가 없고, 위 호흡측정에 의한 혈중알코올농도가 피고인의 실제 혈중알코올농도보다 수치가 높게 나왔다고 인정할 만한 객관적 사정도 없다', '따라서 경찰공무원이 호흡측정 이후 피고인에게 혈액채취의 방법을 통하여 혈중알코올농도를 다시 측정할 수 있다거나, 위드마크 공식의 존재 및 위드마크 공식에 의한 역추산 방식에 의하여 운전 당시의 혈중알코올농도를 산출할 경우 그 결과가 음주운전 처벌기준 수치 이상이 될 가능성이 있다는 취지를 운전자에게 고지하지 아니하였다고 하여, 피고인에 대한 호흡측정에 의한 혈중알코올농도 측정 결과(0.047%)의 증명력을 부정할 수는 없다']"
유기치사·교통사고처리특례법위반(치사),상고인,승소,"['2. 피고인 2 및 변호인의 주장  피고인은 공소장 기재와 같이 과속하여 운행한 사실이 없고, 사고 장소인 자동차전용도로에 보행자가 지나다닐 것을 예견하지도 못하였으므로 피해자의 사망에 피고인의 과실이 있다고 볼 수 없다', '(주3)  그러나 한편, 앞서 든 증거들에 의하여 인정할 수 있는 다음과 같은 사정들을 종합하면, 검사가 제출한 증거들만으로는 피고인에게 자동차전용도로 운전자로서의 업무상 과실이 있다고 보기 어렵고, 가사 과실이 있다 하더라도 피고인의 과실이 이 사건 사고의 직접적 원인이 되었다고 할 수 없으므로, 상당인과관계를 인정할 수 없다', '③ 이 사건 사고 발생 도로는 왕복 6차선의 자동차전용도로이고 시속 80km가 제한속도인 구간인바, 피고인에게 위 도로에서 술에 취하여 무단횡단하는 보행자가 있을 것까지 예견하여 충돌사고를 예방하기 위해 대비하면서 운전할 주의의무가 있다고 보기는 어렵고, 달리 무단횡단을 미리 예상할 수 있어서 그에 따라 즉시 감속하거나 급제동하는 등의 조치를 취하였다면 보행자와의 충돌을 피할 수 있었다는 등의 특별한 사정도 보이지 아니한다']"
교통사고처리특례법위반ㆍ도로교통법위반(무면허운전)ㆍ자동차손해배상보장법위반,항소인,승소,"['법리오해[도로교통법위반(무면허운전) 및 자동차손해배상보장법위반의 점에 관하여]    피고인이 운행한 차량이 자동차관리법 시행령 제2조 제2호 소정의 ‘농업기계’에 해당하여 위 차량에 관하여는 자동차관리법의 적용이 배제된다고 하더라도, 그 구조 및 적재정량 등 구체적 사양에 따르면 위 차량은 자동차관리법 제3조, 같은 법 시행규칙 [별표1]의 소형ㆍ다목적 승용자동차에 해당하므로, 위 차량은 도로교통법 및 자동차손해배상보장법 소정의 ‘자동차’에 해당한다고 봄이 상당하다', '그러나 피고인 측이 제출한 자료에 의하더라도 위 차량은 길이 2,852㎜, 폭 1,543㎜, 높이 1,940㎜이고 3기통디젤엔진(공판기록 57쪽), 즉 원동기를 사용하여 운전되는 차로서 자동차관리법 제3조, 같은 법 시행규칙 별표 1에 나열한 자동차 중 소형ㆍ다목적형 승용자동차에 해당하므로, 위 법리에 비추어 보면 위 차량은 도로교통법 제2조 제18호 소정의 자동차에는 해당한다고 할 것이다', '3. 결 론  그렇다면 원심판결 중 각 도로교통법위반(무면허운전)의 점에 관한 검사의 항소는 이유 있으므로 형사소송법 제364조 제6항에 따라 이 부분을 파기하고 변론을 거쳐 다시 다음과 같이 판결하고, 원심판결 중 나머지 부분에 관한 검사의 항소는 이유 없으므로 형사소송법 제364조 제4항에 따라 이를 기각한다']"
살인(예비적죄명:교통사고처리특례법위반)·사기(남편이 보험금을 노리고 교통사고를 내어 아내를 살해하였다고 기소된 사건),상고인,승소,"['범행방법의 선택과 관련하여  1) 원심은, 피해자가 사망하면 피고인은 좀처럼 보기 힘든 거액의 사망보험금을 수령하게 되는데다가 사망보험금을 지급하는 보험회사의 의심을 피하기 위해서라도 피고인에게도 상당한 위험이 따른다고 여겨질 수 있는 방법으로 사고를 고의로 유발할 수 있다고 보아, 이 사건 사고와 같은 방식의 범행이 상식을 크게 벗어난다거나 이례적이라고 평가할 수 없다고 판단하였다', '2) 그러나 피고인의 살인의 동기와 범행방법의 선택, 사고 발생 당시의 상황 등에 대한 본질적 의문이 해소되지 않는 이상, 원심이 고의성을 추단할 만한 부수적인 간접사실로 들고 있는 위와 같은 사정만으로는, 이 사건 주위적 공소사실 인정의 전제가 되는 살인의 범의에 기한 교통사고임이 합리적인 의심을 할 여지가 없을 정도로 증명되었다고 보기 어렵다', '그런데도 원심은 피고인에게 충분히 수긍할 만한 살인의 동기가 존재하였는지, 범행방법의 선택과 관련하여 제기될 수 있는 의문점을 해소할 만한 특별한 사정이 있는지, 사고 당시의 상황이 고의로 유발되었다는 과학적 근거가 충분한지 등에 대한 치밀하고도 철저한 검증 없이, 그 판시와 같은 사정만으로 피고인이 고의로 피해자를 살해하였다는 이 사건 주위적 공소사실이 합리적 의심을 배제할 정도로 증명되었다고 보아 유죄를 인정하였다']"
교통사고처리특례법위반,상고인,패소,"['그리고 도로교통법 제27조 제1항은 “모든 차의 운전자는 보행자(제13조의2 제6항에 따라 자전거에서 내려서 자전거를 끌고 통행하는 자전거 운전자를 포함한다)가 횡단보도를 통행하고 있을 때에는 보행자의 횡단을 방해하거나 위험을 주지 아니하도록 그 횡단보도 앞(정지선이 설치되어 있는 곳에서는 그 정지선을 말한다)에서 일시정지하여야 한다', '위 각 규정의 내용 및 도로교통법 제27조 제1항의 입법 취지가 차를 운전하여 횡단보도를 지나는 운전자의 보행자에 대한 주의의무를 강화하여 횡단보도를 통행하는 보행자의 생명·신체의 안전을 두텁게 보호하려는 데 있는 것임을 감안하면, 모든 차의 운전자는 신호기의 지시에 따라 횡단보도를 횡단하는 보행자가 있을 때에는 횡단보도에의 진입 선후를 불문하고 일시정지하는 등의 조치를 취함으로써 보행자의 통행이 방해되지 아니하도록 하여야 한다', '거기에 상고이유의 주장과 같이 논리와 경험의 법칙에 반하여 자유심증주의의 한계를 벗어나거나 도로교통법 제27조 제1항에 관한 법리를 오해하고 증거재판주의와 죄형법정주의를 위반하는 등의 잘못이 없다']"
